UID,good-score,good,bad-score,bad,linguistics_term
991,,اللعبة تتطور بسرعة,,اللعبة تتطور اللعبة بسرعة,NS- Use VS 
992,,النحل يمتص رحيق الأزهار,,النحل يمتص النحل رحيق الأزهار,NS- Use VS 
993,,السائق يقود بسرعة,,السائق يقود السائق بسرعة,NS- Use VS 
994,,الطفلة ترضع الحليب,,الطفلة ترضع الطفلة الحليب,NS- Use VS 
995,,المواقف تصنع الرجال,,المواقف تصنع المواقف الرجال,NS- Use VS 
996,,النار تلتهم المكان,,النار تلتهم النار المكان,NS- Use VS 
997,,الزمان يمضي بسرعة,,الزمان يمضي الزمان بسرعة,NS- Use VS 
998,,القطار يجتاز المحطات,,القطار يجتاز القطار المحطات,NS- Use VS 
999,,السفن تغادر الميناء,,السفن تغادر السفن الميناء,NS- Use VS 
1000,,الآلة تعمل باستمرار,,الآلة تعمل الآلة باستمرار,NS- Use VS 
1001,,المهندس البارع,,المهندس البارعة,ADJ-Rational
1002,,فلاحان نشيطان,,فلاحان نشيطون,ADJ-Rational
1003,,معلمة مبدعة,,معلمة مبدع,ADJ-Rational
1004,,أطفال نشيطون,,أطفال نشيط,ADJ-Rational
1005,,ممرضات ماهرات,,ممرضة ماهرات,ADJ-Rational
1006,,طالب ذكي,,طالبة ذكي,ADJ-Rational
1007,,أولاد أذكياء,,ولد أذكياء,ADJ-Rational
1008,,العلماء المتواضعون,,العالم المتواضعون,ADJ-Rational
1009,,الفلاح الأسمر,,الفلاح أسمر,ADJ-Rational
1010,,الفتاة الجميلة,,الولد الجميلة,ADJ-Rational
1011,,الطالب النشيط,,الطالب النشيطة,ADJ-Rational
1012,,الأولاد المشاغبون,,الولد المشاغبون,ADJ-Rational
1013,,الفتاتان المهذبتان,,الفتاة المهذبتان,ADJ-Rational
1014,,اللاعب الماهر,,اللاعب الماهرة,ADJ-Rational
1015,,الفريقان القويان,,الفريق القويان,ADJ-Rational
1016,,البنت المرتبة,,البنت المرتب,ADJ-Rational
1017,,البنات المؤدبات ,,البنات المؤدب,ADJ-Rational
1018,,الطبيبة المخلصة,,الطبيب المخلصة,ADJ-Rational
1019,,الأطباء الناجحون,,الطبيب الناجحون,ADJ-Rational
1020,,العمال الماهرون,,العمال ماهرون,ADJ-Rational
1021,,رجل بخيل,,الرجل بخيل,ADJ-Rational
1022,,ممرضة نشيطة,,الممرضة نشيطة,ADJ-Rational
1023,,الرجل الصعب,,رجل الصعب,ADJ-Rational
1024,,الطبيب الناجح,,طبيب الناجح,ADJ-Rational
1025,,المهندس البارع,,مهندس البارع,ADJ-Rational
1026,,العاملان النشيطان,,العامل النشيطان,ADJ-Rational
1027,,العامل المهمل,,عامل المهمل,ADJ-Rational
1028,,الجنود الشجعان,,جنود الشجعان,ADJ-Rational
1029,,اللاعب البارع,,اللاعبون البارع,ADJ-Rational
1030,,الرجل اللطيف,,الرجال اللطيف,ADJ-Rational
1031,,المعلم الناجح,,معلم الناجح,ADJ-Rational
1032,,الطلاب الناجحون,,الطالب الناجحون,ADJ-Rational
1033,,المراقب الحذق,,مراقب الحذق,ADJ-Rational
1034,,العلماء الواثقون,,علماء الواثقون,ADJ-Rational
1035,,المدراء المنضبطون,,المدير المنضبطون,ADJ-Rational
1036,,المدير المسؤول,,المدير مسؤول,ADJ-Rational
1037,,المسؤول المحترم,,المسؤول محترم,ADJ-Rational
1038,,الفلاحون النشيطون,,الفلاحون النشيط,ADJ-Rational
1039,,الأطفال الرضع,,الطفل الرضع,ADJ-Rational
1040,,الرجل المنتصر,,الرجل منتصر,ADJ-Rational
1041,,الشيوخ الركع,,الشيوخ ركع,ADJ-Rational
1042,,النجار المبدع,,النجار مبدع,ADJ-Rational
1043,,المصمم الرائع,,مصمم الرائع,ADJ-Rational
1044,,الشرطيان الوفيان,,الشرطي الوفيان,ADJ-Rational
1045,,الضابط القوي,,الضابط قوي,ADJ-Rational
1046,,الجنود الأقوياء,,الجندي الأقوياء,ADJ-Rational
1047,,الأب الغالي,,الأم الغالي,ADJ-Rational
1048,,الأم المثالية,,الأب المثالية,ADJ-Rational
1049,,الأخوة الأعزاء,,الأخوة أعزاء,ADJ-Rational
1050,,الممرضات الرحيمات,,الممرضة الرحيمات,ADJ-Rational
1051,,عاملات نشيطات,,عاملات نشيطة,ADJ-Rational
1052,,ولد عبقري,,ولد عبقرية,ADJ-Rational
1053,,الفتيات الجميلات,,الفتيات الجميلة,ADJ-Rational
1054,,المدرب الصارم,,المدربة الصارم,ADJ-Rational
1055,,الموظف المتفاني,,الموظفة المتفاني,ADJ-Rational
1056,,طفل جائع,,طفل جائعة,ADJ-Rational
1057,,امرأة حديدية,,امرأة الحديدية,ADJ-Rational
1058,,أسرة متماسكة,,أسرة المتماسكة,ADJ-Rational
1059,,معلمات مبدعات,,معلمات المبدعات,ADJ-Rational
1060,,العارضات الأنيقات,,العارضة الأنيقات,ADJ-Rational
1061,,الشاب الوسيم,,الشابة الوسيم,ADJ-Rational
1062,,الشيخ الزاهد,,الشيخ الزاهدة,ADJ-Rational
1063,,العابدان الزاهدان,,العابد الزاهدان,ADJ-Rational
1064,,الطيارون الوسيمون,,الطيار الوسيمون,ADJ-Rational
1065,,قبطان أنيق,,قبطان أنيقة,ADJ-Rational
1066,,ربان نشيط,,ربان نشيطة,ADJ-Rational
1067,,المضيفة الجميلة,,المضيفة الجميل,ADJ-Rational
1068,,الباحثة الذكية,,الباحثة الذكي,ADJ-Rational
1069,,المتسابق النشيط,,المتسابقة النشيط,ADJ-Rational
1070,,الأولاد المهذبون,,الولد المهذبون,ADJ-Rational
1071,,الرجال الأقوياء,,الرجل الأقوياء,ADJ-Rational
1072,,البنت المخلصة,,البنت مخلصة,ADJ-Rational
1073,,الأخت الغالية,,الأخت غالية,ADJ-Rational
1074,,التلميذ العبقري,,التلميذ عبقري,ADJ-Rational
1075,,الطفلة المفقودة,,الطفل المفقودة,ADJ-Rational
1076,,الأم الحنونة,,الأم حنونة,ADJ-Rational
1077,,الأمهات الرائعات,,الأم الرائعات,ADJ-Rational
1078,,الموظف البشوش,,الموظف البشوشة,ADJ-Rational
1079,,المسافر الحزين,,المسافر الحزينة,ADJ-Rational
1080,,السائق المتهور,,السائق المتهورة,ADJ-Rational
1081,,الأستاذ الرائع,,الأستاذ رائع,ADJ-Rational
1082,,الدكتور الوسيم,,الدكتور وسيم,ADJ-Rational
1083,,المهندسة البارعة,,المهندسة بارعة,ADJ-Rational
1084,,الجدة الحنونة,,جدة الحنونة,ADJ-Rational
1085,,الأجداد المفكرون,,الجد المفكرون,ADJ-Rational
1086,,الطلاب النشيطون,,الطالب النشيطون,ADJ-Rational
1087,,محامي عظيم,,محامي العظيم,ADJ-Rational
1088,,القاضي العادل,,القاضي عادل,ADJ-Rational
1089,,الرسول الأمين,,رسول الأمين,ADJ-Rational
1090,,النبي المرتقب,,نبي المرتقب,ADJ-Rational
1091,,السيدة الراقية,,السيد الراقية,ADJ-Rational
1092,,السيدات الثريات,,السيدة الثريات,ADJ-Rational
1093,,الرسامون المبدعون,,الرسام المبدعون,ADJ-Rational
1094,,الرسام النشيط,,الرسامة النشيط,ADJ-Rational
1095,,مستثمران غنيان,,مستثمر غنيان,ADJ-Rational
1096,,قائد عظيم,,قائد العظيم,ADJ-Rational
1097,,مستشار هادئ,,مستشار الهادئ,ADJ-Rational
1098,,الوزير المخلص,,وزير المخلص,ADJ-Rational
1099,,السفير المتكلم,,سفير المتكلم,ADJ-Rational
1100,,الرئيس المحبوب,,الرئيسة المحبوب,ADJ-Rational
1101,,السفراء النشيطون,,السفير النشيطون,ADJ-Rational
1102,,مستشارون مبدعون,,مستشارون المبدعون,ADJ-Rational
1103,,القائد المفدى,,قائد المفدى,ADJ-Rational
1104,,الجار الجنب,,جار الجنب,ADJ-Rational
1105,,اليتيم المقهور,,يتيم المقهور,ADJ-Rational
1106,,السائل المسكين,,السائل مسكين,ADJ-Rational
1107,,الجيران المزعجون,,الجيران المزعج,ADJ-Rational
1108,,الصديق الوفي,,الصديق الوفية,ADJ-Rational
1109,,الأصدقاء المخلصون,,الأصدقاء المخلص,ADJ-Rational
1110,,الطفلة النائمة,,الطفلة النائم,ADJ-Rational
1111,,الشاب المريض,,الشابة المريض,ADJ-Rational
1112,,الطبيب المعالج,,الطبيبة المعالج,ADJ-Rational
1113,,ممرض قوي,,ممرضة قوي,ADJ-Rational
1114,,سائق أرعن,,سائقة أرعن,ADJ-Rational
1115,,ركاب مزعجون,,ركاب المزعجون,ADJ-Rational
1116,,الزوار المسرورون,,زوار المسرورون,ADJ-Rational
1117,,الزائر الخفيف,,الزائرة الخفيف,ADJ-Rational
1118,,جنود بواسل,,جنود البواسل,ADJ-Rational
1119,,الضيوف المحبوبون,,ضيوف المحبوبون,ADJ-Rational
1120,,ولد بار,,ولد بارة,ADJ-Rational
1121,,ضيف مزعج,,ضيف المزعج,ADJ-Rational
1122,,سائح أجنبي,,سائحة أجنبي,ADJ-Rational
1123,,سياح أجانب,,سياح الأجانب,ADJ-Rational
1124,,محقق عبقري,,محققة عبقري,ADJ-Rational
1125,,الجاسوس الغبي,,الجاسوس غبي,ADJ-Rational
1126,,المخبري الدقيق,,المخبري دقيق,ADJ-Rational
1127,,الباحث الفطن,,الباحث الفطنة,ADJ-Rational
1128,,مفكر دقيق,,مفكر دقيقة,ADJ-Rational
1129,,بائع متجول,,بائع متجولة,ADJ-Rational
1130,,المندوب السامي,,مندوب السامي,ADJ-Rational
1131,,المتحدث الفصيح,,المتحدث فصيح,ADJ-Rational
1132,,رفاق مخلصون,,رفاق المخلصون,ADJ-Rational
1133,,تاجر شاطر,,تاجر الشاطر,ADJ-Rational
1134,,كاتب مبدع,,كاتب المبدع,ADJ-Rational
1135,,مؤلف خيالي,,مؤلفة خيالي,ADJ-Rational
1136,,الممثل المتقن,,الممثلة المتقن,ADJ-Rational
1137,,الفنانة القديرة,,الفنان القديرة,ADJ-Rational
1138,,الرجل التقي,,الرجل تقي,ADJ-Rational
1139,,الداعي الورع,,الداعي ورع,ADJ-Rational
1140,,المذيع الوسيم,,المذيعة الوسيم,ADJ-Rational
1141,,الأميرة الجميلة,,الأمير الجميلة,ADJ-Rational
1142,,الملك العادل,,الملكة العادل,ADJ-Rational
1143,,نحات مبدع,,نحات المبدع,ADJ-Rational
1144,,الأبناء البارون,,الأبناء بارون,ADJ-Rational
1145,,فلاحات قويات,,فلاحات القويات,ADJ-Rational
1146,,المؤرخ الدقيق,,المؤرخ دقيق,ADJ-Rational
1147,,الراكض السريع,,راكض السريع,ADJ-Rational
1148,,اللاعبة المتمرنة,,اللاعب المتمرنة,ADJ-Rational
1149,,بناة حقيقيون,,بناة الحقيقيون,ADJ-Rational
1150,,زعيم صارم,,زعيم الصارم,ADJ-Rational
1151,,الأشجار المثمرة,,الأشجار المثمرات,ADJ-Irrational
1152,,الآلات جديدة,,الآلات جدد,ADJ-Irrational
1153,,الحدائق الشاسعة,,الحدائق الشواسع,ADJ-Irrational
1154,,الأسلحة الثقيلة,,الأسلحة الثقيلات,ADJ-Irrational
1155,,المقاعد المتحركة,,المقاعد المتحركات,ADJ-Irrational
1156,,الفراشات الملونة,,الفراشات الملونات,ADJ-Irrational
1157,,الأسلاك العارية,,الأسلاك العاريات,ADJ-Irrational
1158,,الأشجار الكثيفة,,الأشجار الكثاف,ADJ-Irrational
1159,,الحدائق الضاحكة,,الحدائق الضاحكات,ADJ-Irrational
1160,,الأوامر المهمة,,الأوامر المهمات,ADJ-Irrational
1161,,الأساليب المتطورة,,الأساليب المتطورات,ADJ-Irrational
1162,,الأقلام الملونة,,الأقلام الملونات,ADJ-Irrational
1163,,الرسومات المتحركة,,الرسومات المتحركات,ADJ-Irrational
1164,,الألعاب الإلكترونية,,الألعاب الإلكترونيات,ADJ-Irrational
1165,,الشواطئ المعروفة,,الشواطئ المعروفات,ADJ-Irrational
1166,,السفن الجارية,,السفن الجوار,ADJ-Irrational
1167,,الكتب المطبوعة,,الكتب المطبوعات,ADJ-Irrational
1168,,الصحف المنشورة,,الصحف المنشورات,ADJ-Irrational
1169,,الأوراق الصفراء,,الأوراق الصفراوات,ADJ-Irrational
1170,,الحقول الشاسعة,,الحقول الشواسع,ADJ-Irrational
1171,,الكواكب السيارة,,الكواكب السيارات,ADJ-Irrational
1172,,النجوم البعيدة,,النجوم البعيدات,ADJ-Irrational
1173,,أبنية عالية,,أبنية عوالي,ADJ-Irrational
1174,,شوارع نظيفة,,شوارع نظاف,ADJ-Irrational
1175,,صروح شامخة,,صروح شوامخ,ADJ-Irrational
1176,,قلاع محصنة ,,قلاع محصنات ,ADJ-Irrational
1177,,رياح عاتية,,رياح عتاة,ADJ-Irrational
1178,,مفاتيح جديدة,,مفاتيح جدد,ADJ-Irrational
1179,,اقتباسات رائعة,,اقتباسات رائعات,ADJ-Irrational
1180,,طاقات بديلة,,طاقات بدائل,ADJ-Irrational
1181,,مدن مهجورة,,مدن مهجورات,ADJ-Irrational
1182,,قرى مغمورة,,قرى مغمورات,ADJ-Irrational
1183,,سفن غارقة,,سفن غرقى,ADJ-Irrational
1184,,ثمار موسمية,,ثمار موسميات,ADJ-Irrational
1185,,معاجم نفيسة,,معاجم نفاس,ADJ-Irrational
1186,,عقول راقية,,العقول رواق,ADJ-Irrational
1187,,طبقات المتعددة,,طبقات متعددات,ADJ-Irrational
1188,,أزقة مهجورة,,أزقة مهجورات,ADJ-Irrational
1189,,كؤوس فارغة,,كؤوس فارغات,ADJ-Irrational
1190,,بيوت حديثة,,بيوت حداث,ADJ-Irrational
1191,,أفلام مشوقة,,أفلام مشوقات,ADJ-Irrational
1192,,مقالات غنية,,مقالات غنيات,ADJ-Irrational
1193,,شمعات فارهة,,شمعات فواره,ADJ-Irrational
1194,,أزهار متفتحة,,أزهار متفتحات,ADJ-Irrational
1195,,خطوط جميلة,,خطوط جميلات,ADJ-Irrational
1196,,خيول دهماء,,خيول دهم,ADJ-Irrational
1197,,أمطار غزيرة,,أمطار غزار,ADJ-Irrational
1198,,حقائق مثبتة,,حقائق مثبتات,ADJ-Irrational
1199,,روايات مدهشة,,روايات مدهشات,ADJ-Irrational
1200,,قصص قصيرة,,قصص قصار,ADJ-Irrational
1201,,أخلاق نبيلة,,أخلاق نبيلات,ADJ-Irrational
1202,,خصال جيدة,,خصال جيدات,ADJ-Irrational
1203,,أفعال شنيعة,,أفعال شنائع,ADJ-Irrational
1204,,قرارات سليمة,,قرارات سليمات,ADJ-Irrational
1205,,عيون سوداء,,عيون سوداوات,ADJ-Irrational
1206,,أنفس سمحة,,أنفس سماح,ADJ-Irrational
1207,,قلوب بيضاء,,قلوب بيضاوات,ADJ-Irrational
1208,,لوحات جميلة,,لوحات جميلات,ADJ-Irrational
1209,,خطوط واضحة,,خطوط واضحات,ADJ-Irrational
1210,,نجوم لامعة,,نجوم لوامع,ADJ-Irrational
1211,,حقائب صغيرة,,حقائب صغيرات,ADJ-Irrational
1212,,أحلام سعيدة,,أحلام سعيدات,ADJ-Irrational
1213,,كؤوس خضراء,,كؤوس خضراوات,ADJ-Irrational
1214,,نصائح خيرة,,نصائح خيرات,ADJ-Irrational
1215,,أرصفة متراصة,,أرصفة متراصات,ADJ-Irrational
1216,,بضائع متبادلة,,بضائع متبادلات,ADJ-Irrational
1217,,أفعال حسنة,,أفعال حسنات,ADJ-Irrational
1218,,قوارب مهجورة,,قوارب مهجورات,ADJ-Irrational
1219,, قلوب جريحة,,قلوب جرحى,ADJ-Irrational
1220,,أخلاق دنيئة,,أخلاق دنيئات,ADJ-Irrational
1221,,أسنان مخلوعة,,أسنان مخلوعات,ADJ-Irrational
1222,,أفاعي سامة,,أفاعي سوام,ADJ-Irrational
1223,,وحوش مفترسة,,وحوش مفترسات,ADJ-Irrational
1224,,أرانب بيضاء,,أرانب بيضاوات,ADJ-Irrational
1225,,قطط سوداء,,قطط سوداوات,ADJ-Irrational
1226,,كلاب سريعة,,كلاب سراع,ADJ-Irrational
1227,,معاينات واقعية,,معاينات واقعيات,ADJ-Irrational
1228,,مرايا مصقولة,,مرايا مصقولات,ADJ-Irrational
1229,,إشعاعات واردة,,إشعاعات واردات,ADJ-Irrational
1230,,سفن راسية,,سفن رواس,ADJ-Irrational
1231,,طاولات مائلة,,طاولات مائلات,ADJ-Irrational
1232,,طرق مستقيمة,,طرق مستقيمات,ADJ-Irrational
1233,,ثمار لذيذة,,ثمار لذاذ,ADJ-Irrational
1234,,أصوات بائسة,,أصوات بائسات,ADJ-Irrational
1235,,حروب ضارية,,حروب ضواري,ADJ-Irrational
1236,,أسلحة فاتكة,,أسلحة فتاك,ADJ-Irrational
1237,,أغصان مكسورة,,أغصان مكسورات,ADJ-Irrational
1238,,حفلات متنوعة,,حفلات متنوعات,ADJ-Irrational
1239,,أوراق خضراء,,أوراق خضراوات,ADJ-Irrational
1240,,علوم رفيعة,,علوم رفائع,ADJ-Irrational
1241,,مشاريع ناجحة,,مشاريع ناجحات,ADJ-Irrational
1242,,نمارق مكسورة,,نمارق مكسورات,ADJ-Irrational
1243,,أراضي خصبة,,أراضي خصاب,ADJ-Irrational
1244,,أبحاث نافعة,,أبحاث نوافع,ADJ-Irrational
1245,,رايات مرفرفة,,رايات مرفرفات,ADJ-Irrational
1246,,طرق صعبة,,طرق صعاب,ADJ-Irrational
1247,,أجسام عليلة,,أجسام عليلات,ADJ-Irrational
1248,,صدور رحبة,,صدور رحاب,ADJ-Irrational
1249,,علل خفية,,علل خفايا,ADJ-Irrational
1250,,إجابات صحيحة,,إجابات صحيحات,ADJ-Irrational
1251,,باب حديقة كبير,,أبواب حديقة كبير,IDAFAA-CASE
1252,,قارئ كتاب فهيم,,قارئ كتاب فهيمون ,IDAFAA-CASE
1253,,عالم لذرة عبقري,,علماء ذرة عبقري,IDAFAA-CASE
1254,,قلادة ذهب لامعة,,قلادتا ذهب لامعة,IDAFAA-CASE
1255,,طالب علم مندفع,,طالبا علم مندفع,IDAFAA-CASE
1256,,باب القلعة الكبير,,أبواب القلعة الكبير,IDAFAA-CASE
1257,,درس العلوم المفيد,,دروس العلوم المفيد,IDAFAA-CASE
1258,,مكتب المدير الجديد,,مكاتب المدير الجديد,IDAFAA-CASE
1259,,نبع الماء البارد,,ينابيع الماء البارد,IDAFAA-CASE
1260,,درس القراءة الهادف,,دروس القراءة الهادف,IDAFAA-CASE
1261,,لون الطبيعة الزاهي,,ألوان الطبيعة الزاهي,IDAFAA-CASE
1262,,طالب العلم المهتم,,طالبا العلم المهتم,IDAFAA-CASE
1263,,مستخدموا اللعبة الماهرون,,مستخدم اللعبة الماهرون,IDAFAA-CASE
1264,,مراقب الناس المهموم,,مراقبوا الناس المهموم,IDAFAA-CASE
1265,,مشروعا البناء الحديثان,,مشروع البناء الحديثان,IDAFAA-CASE
1266,,شراع القارب المفتوح,,أشرعة القارب المفتوح,IDAFAA-CASE
1267,,قناع الوجه المكشوف,,أقنعة الوجه المكشوف,IDAFAA-CASE
1268,,مطر الشتاء الغزير,,أمطار الشتاء الغزير,IDAFAA-CASE
1269,,أطفال المدرسة المهذبون,,طفل المدرسة المهذبون,IDAFAA-CASE
1270,,أطباء المشفى الماهرون,,طبيب المشفى الماهرون,IDAFAA-CASE
1271,,ممرضات الإسعاف المخلصات,,ممرضة الإسعاف المخلصات,IDAFAA-CASE
1272,,أولاد الحي المشاغبون,,ولد الحي المشاغبون,IDAFAA-CASE
1273,,تاج الملك الذهبي,,تيجان الملك الذهبي,IDAFAA-CASE
1274,,زهرتا الجوري الشذيتان,,زهرة الجوري الشذيتان,IDAFAA-CASE
1275,,معلمو المدرسة المثابرون,,معلم المدرسة المثابرون,IDAFAA-CASE
1276,,صفحتا الدفتر المزينتان,,صفحة الدفتر المزينتان,IDAFAA-CASE
1277,,حامل السلاح القوي,,حاملو السلاح القوي,IDAFAA-CASE
1278,,جنود المستقبل الأقوياء,,جندي المستقبل الأقوياء,IDAFAA-CASE
1279,,مقعد الصف الخشبي,,مقاعد الصف الخشبي,IDAFAA-CASE
1280,,حاملو المسؤولية الأقوياء,,حامل المسؤولية الأقوياء,IDAFAA-CASE
1281,,مناسك الحج المتعددة,,منسك الحج المتعددة,IDAFAA-CASE
1282,,تجار السوق الأغنياء,,تاجر السوق الأغنياء,IDAFAA-CASE
1283,,مدرس المادة الناجح,,مدرسو المادة الناجح,IDAFAA-CASE
1284,,مهندس المشروع الماهر,,مهندسو المشروع الماهر,IDAFAA-CASE
1285,,أطباء الجراحة الناجحون,,طبيب الجراحة الناجحون,IDAFAA-CASE
1286,,درب التبانة البعيد,,دروب التبانة البعيد,IDAFAA-CASE
1287,,سلك الحديد الطويل,,أسلاك الحديد الطويل,IDAFAA-CASE
1288,,ساعات العمل الطوال,,ساعة العمل الطوال,IDAFAA-CASE
1289,,فناء الدار الواسع,,أفنية الدار الواسع,IDAFAA-CASE
1290,,لوحتا المعرض الملونتان,,لوحة المعرض الملونتان,IDAFAA-CASE
1291,,مجلة الحائط المفيدة,,مجلتا الحائط المفيدة,IDAFAA-CASE
1292,,صديقة العمر الوفية,,صديقات العمر الوفية,IDAFAA-CASE
1293,,زميل العمل المخلص,,زملاء العمل المخلص,IDAFAA-CASE
1294,,طالب العلم الدؤوب,,طلاب العلم الدؤوب,IDAFAA-CASE
1295,,قرارات الحكومة المتعددة,,قرار الحكومة المتعددة,IDAFAA-CASE
1296,,صديقة الفتاة النحيلة ,,صديقات الفتاة النحيلة,IDAFAA-CASE
1297,,أبناء المستقبل الناضجون,,ابن المستقبل الناضجون,IDAFAA-CASE
1298,,لاعبو المباراة السريعون,,لاعب المباراة السريعون,IDAFAA-CASE
1299,,مقدم البرنامج المنفعل,,مقدمو البرنامج المنفعل,IDAFAA-CASE
1300,,حارس المرمى المتأهب,,حارسا المرمى المتأهب,IDAFAA-CASE
1301,,نجم الثريا اللامع,,نجوم الثريا اللامع,IDAFAA-CASE
1302,,قمر السماء الساطع,,أقمار السماء الساطع,IDAFAA-CASE
1303,,عاملو النظافة النشيطون,,عامل النظافة النشيطون,IDAFAA-CASE
1304,,عاملات النسيج الماهرات,,عاملة النسيج الماهرات,IDAFAA-CASE
1305,,منظمو الحفل المبدعون,,منظم الحفل المبدعون,IDAFAA-CASE
1306,,قائد الرحلة الحريص,,قواد الرحلة الحريص,IDAFAA-CASE
1307,,سامع الصوت اليقظ,,سامعو الصوت اليقظ,IDAFAA-CASE
1308,,عمال النقل الهادئون,,عامل النقل الهادئون,IDAFAA-CASE
1309,,قارئ الكتاب الفصيح,,قارئو الكتاب الفصيح,IDAFAA-CASE
1310,,كاتب الرواية العالمي,,كاتبو الرواية العالمي,IDAFAA-CASE
1311,,مترجمو الرواية النشيطون,,مترجم الرواية النشيطون,IDAFAA-CASE
1312,,مقدمو البرامج المبدعون,,مقدم البرامج المبدعون,IDAFAA-CASE
1313,,حماة الديار الأباة,,حامي الديار الأباة,IDAFAA-CASE
1314,,قاضي العدل البارع,,قضاة العدل البارع,IDAFAA-CASE
1315,,زارع المعروف الوفي,,زارعو المعروف الوفي,IDAFAA-CASE
1316,,باسط الكف الكريم,,باسطو الكف الكريم,IDAFAA-CASE
1317,,خبراء الكيمياء الأذكياء,,خبير الكيمياء الأذكياء,IDAFAA-CASE
1318,,معمل الأسمدة الصناعي,,معامل الأسمدة الصناعي,IDAFAA-CASE
1319,,قواد الجيش الأقوياء,,قائد الجيش الأقوياء,IDAFAA-CASE
1320,,رامو السهام البارعون,,رامي السهام البارعون,IDAFAA-CASE
1321,,شهيد الحق الحي,,شهداء الحق الحي,IDAFAA-CASE
1322,,بيان الجيش الشامل,,بيانات الجيش الشامل,IDAFAA-CASE
1323,,بائعة الورود الحزينة,,بائعات الورود الحزينة,IDAFAA-CASE
1324,,صانعو اللباس المتقنون,,صانع اللباس المتقنون,IDAFAA-CASE
1325,,بناء المشفى الحديث,,أبنية المشفى الحديث,IDAFAA-CASE
1326,,رمل الصحراء الأسمر,,رمال الصحراء الأسمر,IDAFAA-CASE
1327,,بائع الورد الفقير,,بائعو الورد الفقير,IDAFAA-CASE
1328,,مستثمر المشروع النشيط,,مستثمرو المشروع النشيط,IDAFAA-CASE
1329,,طفل النبوءة المنتظر,,أطفال النبوءة المنتظر,IDAFAA-CASE
1330,,مصنع السعادة الحديث,,مصانع السعادة الحديث,IDAFAA-CASE
1331,,مستخدم الأنترنت الذكي,,مستخدمو الأنترنت الذكي,IDAFAA-CASE
1332,,قطعة الحلوى اللذيذة,,قطعتا الحلوى اللذيذة,IDAFAA-CASE
1333,,شجرة الزينة الجميلة,,شجرتا الزينة الجميلة,IDAFAA-CASE
1334,,بائعو الصابون الوسيمون,,بائع الصابون الوسيمون,IDAFAA-CASE
1335,,باقة الورد المرتبة,,باقات الورد المرتبة,IDAFAA-CASE
1336,,حارس الباب الوفي,,حارسوا الباب الوفي,IDAFAA-CASE
1337,,فتاة الحي اليتيمة,,فتيات الحي اليتيمة,IDAFAA-CASE
1338,,فارس الهيجاء القوي,,فرسان الهيجاء القوي,IDAFAA-CASE
1339,,مدرسة الحي المغلقة,,مدرستا الحي المغلقة,IDAFAA-CASE
1340,,سكان الحي الرائعون,,ساكن الحي الرائعون,IDAFAA-CASE
1341,,بائعة الكبريت المتشردة,,بائعات الكبريت المتشردة,IDAFAA-CASE
1342,,طالبو العلم الأذكياء,,طالب العلم الأذكياء,IDAFAA-CASE
1343,,راوي القصة البارع,,رواة القصة البارع,IDAFAA-CASE
1344,,مهندسا المعمل الماهران,,مهندس المعمل الماهران,IDAFAA-CASE
1345,,حامل الهم الحزين,,حاملو الهم الحزين,IDAFAA-CASE
1346,,قاضي العدل الحاذق,,قضاة العدل الحاذق,IDAFAA-CASE
1347,,كاتبا العدل الأمينان,,كاتب العدل الأمينان,IDAFAA-CASE
1348,,سامع الصوت السعيد,,سامعو الصوت السعيد,IDAFAA-CASE
1349,,ناقل الخبر الصادق,,ناقلا الخبر الصادق,IDAFAA-CASE
1350,,قطعة النقد الأثرية,,قطعتا النقد الأثرية,IDAFAA-CASE
1351,,بائعة الورد الماهرة,,بائعة الورد الماهر,IDAFAA-gender
1352,,حوار المتعلمة الممتع,,حوار المتعلمة الممتعة,IDAFAA-gender
1353,,صحبة الأخيار المفيدة,,صحبة الأخيار المفيد,IDAFAA-gender
1354,,العلم نهله نافع,,العلم نهله نافعة,IDAFAA-gender
1355,,المكتبة رفوفها عالية,,المكتبة رفوفها عال,IDAFAA-gender
1356,,زارع المعروف الوفي,,زارع المعروف الوفية,IDAFAA-gender
1357,,قاضي العدل البارع,,قاضي العدل البارعة,IDAFAA-gender
1358,,مقدم البرنامج المبدع,,مقدمة البرنامج المبدع,IDAFAA-gender
1359,,بائع الورد الماهر,,بائعة الورد الماهر,IDAFAA-gender
1360,,كاتبة النص المبدعة,,كاتب النص المبدعة,IDAFAA-gender
1361,,قائد الفرقة القوي,,قائد الفرقة القوية,IDAFAA-gender
1362,,التلميذ كتابه مرتب,,التلميذ كتابه مرتبة,IDAFAA-gender
1363,,الطبيب علاجه سريع,,الطبيب علاجه سريعة,IDAFAA-gender
1364,,القاضية حكمها عادل,,القاضية حكمها عادلة,IDAFAA-gender
1365,,معاشرة الطيب مفيدة,,معاشرة الطيب مفيد,IDAFAA-gender
1366,,قراءة الكتب مفيدة,,قراءة الكتب مفيد,IDAFAA-gender
1367,,الاستماع للموسيقى مهدئ,,الاستماع للموسيقى مهدئة,IDAFAA-gender
1368,,السمنة أضرارها كثيرة,,السمنة أضرارها كثير,IDAFAA-gender
1369,,رياضة السباحة مفيدة,,رياضة السباحة مفيد,IDAFAA-gender
1370,,ركوب الخيل الممتع,,ركوب الخيل الممتعة,IDAFAA-gender
1371,,مداعبة الطفل سعادة,,مداعب الطفل سعادة,IDAFAA-gender
